
           ####      G N O M              Version 5.0 (r8972)      ####
                                               Tue Sep 12 15:34:13 2017

           ####      Configuration                                 ####

    System Type:                   arbitrary monodisperse (job = 0)
    Minimum characteristic size:         0.0000
    Maximum characteristic size:        70.0000
    rad56:                               0.0000
    Force 0.0 at r = rmin:                  yes
    Force 0.0 at r = rmax:                  yes
    Initial alpha:                       0.0000
    Initial random seed:      23164226928861160
    Points in real space:                   228

    Input  1:                      C:/Users/admin/Desktop/SAXS1.dat
    First data point used:                    4
    Last data point used:                   500
    Scaling coefficient:             0.1000E+01
    Experimental setup:            point collimation


           ####      Results                                       ####

    Parameter    DISCRP  OSCILL  STABIL  SYSDEV  POSITV  VALCEN  SMOOTH
    Weight        1.000   3.000   3.000   3.000   1.000   1.000   2.000
    Sigma         0.300   0.600   0.120   0.120   0.120   0.120   0.600
    Ideal         0.700   1.100   0.000   1.000   1.000   0.950   0.000
    Current       1.639   1.589   0.008   0.665   1.000   0.802   0.204
               --------------------------------------------------------
    Estimate      0.000   0.514   0.995   0.000   1.000   0.219   0.891

    Angular range:                       0.0212 to       0.2650
    Reciprocal space Rg:             0.2093E+02
    Reciprocal space I(0):           0.6637E+02

    Real space range:                    0.0000 to      70.0000
    Real space Rg:                   0.2098E+02 +-   0.1428E+00
    Real space I(0):                 0.6637E+02 +-   0.5582E+00

    Highest ALPHA (theor):           0.2463E+05
    Current ALPHA:                   0.6857E+01

    Total Estimate:                      0.5379 (a REASONABLE solution)



           ####      Experimental Data and Fit                     ####

      S          J EXP       ERROR       J REG       I REG

   0.000000E+00                                                0.663749E+02
   0.755707E-03                                                0.663691E+02
   0.151141E-02                                                0.663524E+02
   0.226712E-02                                                0.663246E+02
   0.302283E-02                                                0.662857E+02
   0.377854E-02                                                0.662358E+02
   0.453424E-02                                                0.661748E+02
   0.528995E-02                                                0.661027E+02
   0.604566E-02                                                0.660197E+02
   0.680136E-02                                                0.659258E+02
   0.755707E-02                                                0.658211E+02
   0.831278E-02                                                0.657055E+02
   0.906849E-02                                                0.655792E+02
   0.982419E-02                                                0.654422E+02
   0.105799E-01                                                0.652947E+02
   0.113356E-01                                                0.651366E+02
   0.120913E-01                                                0.649682E+02
   0.128470E-01                                                0.647894E+02
   0.136027E-01                                                0.646005E+02
   0.143584E-01                                                0.644014E+02
   0.151141E-01                                                0.641924E+02
   0.158699E-01                                                0.639735E+02
   0.166256E-01                                                0.637449E+02
   0.173813E-01                                                0.635067E+02
   0.181370E-01                                                0.632590E+02
   0.188927E-01                                                0.630020E+02
   0.196484E-01                                                0.627357E+02
   0.204041E-01                                                0.624605E+02
   0.211598E-01   0.582170E+02   0.434547E+01   0.621764E+02   0.621764E+02
   0.216519E-01   0.596095E+02   0.436536E+01   0.619867E+02   0.619867E+02
   0.221439E-01   0.593086E+02   0.432293E+01   0.617934E+02   0.617934E+02
   0.226360E-01   0.610792E+02   0.438528E+01   0.615964E+02   0.615964E+02
   0.231281E-01   0.607444E+02   0.438707E+01   0.613959E+02   0.613959E+02
   0.236202E-01   0.583850E+02   0.429656E+01   0.611918E+02   0.611918E+02
   0.241123E-01   0.582906E+02   0.427073E+01   0.609843E+02   0.609843E+02
   0.246044E-01   0.576454E+02   0.428255E+01   0.607734E+02   0.607734E+02
   0.250964E-01   0.590711E+02   0.430339E+01   0.605592E+02   0.605592E+02
   0.255885E-01   0.561036E+02   0.420077E+01   0.603416E+02   0.603416E+02
   0.260806E-01   0.579233E+02   0.423914E+01   0.601207E+02   0.601207E+02
   0.265727E-01   0.575619E+02   0.418384E+01   0.598966E+02   0.598966E+02
   0.270648E-01   0.577258E+02   0.416813E+01   0.596694E+02   0.596694E+02
   0.275568E-01   0.544980E+02   0.405686E+01   0.594390E+02   0.594390E+02
   0.280489E-01   0.572364E+02   0.411362E+01   0.592056E+02   0.592056E+02
   0.285410E-01   0.567152E+02   0.408976E+01   0.589692E+02   0.589692E+02
   0.290331E-01   0.559439E+02   0.405651E+01   0.587298E+02   0.587298E+02
   0.295252E-01   0.550880E+02   0.401915E+01   0.584875E+02   0.584875E+02
   0.300172E-01   0.565828E+02   0.405450E+01   0.582424E+02   0.582424E+02
   0.305093E-01   0.560645E+02   0.403582E+01   0.579945E+02   0.579945E+02
   0.310014E-01   0.556655E+02   0.402364E+01   0.577439E+02   0.577439E+02
   0.314935E-01   0.557578E+02   0.399809E+01   0.574906E+02   0.574906E+02
   0.319855E-01   0.548600E+02   0.396725E+01   0.572347E+02   0.572347E+02
   0.324776E-01   0.547165E+02   0.395239E+01   0.569762E+02   0.569762E+02
   0.329697E-01   0.549987E+02   0.395341E+01   0.567152E+02   0.567152E+02
   0.334618E-01   0.547167E+02   0.392846E+01   0.564517E+02   0.564517E+02
   0.339538E-01   0.547685E+02   0.391693E+01   0.561859E+02   0.561859E+02
   0.344459E-01   0.539140E+02   0.389575E+01   0.559177E+02   0.559177E+02
   0.349380E-01   0.533112E+02   0.386123E+01   0.556473E+02   0.556473E+02
   0.354300E-01   0.537004E+02   0.386196E+01   0.553746E+02   0.553746E+02
   0.359221E-01   0.530719E+02   0.383346E+01   0.550998E+02   0.550998E+02
   0.364142E-01   0.531195E+02   0.382332E+01   0.548229E+02   0.548229E+02
   0.369063E-01   0.523604E+02   0.378930E+01   0.545439E+02   0.545439E+02
   0.373983E-01   0.537994E+02   0.380412E+01   0.542630E+02   0.542630E+02
   0.378904E-01   0.523084E+02   0.376252E+01   0.539801E+02   0.539801E+02
   0.383825E-01   0.525590E+02   0.374521E+01   0.536954E+02   0.536954E+02
   0.388745E-01   0.511882E+02   0.369888E+01   0.534089E+02   0.534089E+02
   0.393666E-01   0.516752E+02   0.370714E+01   0.531206E+02   0.531206E+02
   0.398587E-01   0.518588E+02   0.370051E+01   0.528307E+02   0.528307E+02
   0.403507E-01   0.502370E+02   0.364747E+01   0.525391E+02   0.525391E+02
   0.408428E-01   0.498071E+02   0.362210E+01   0.522460E+02   0.522460E+02
   0.413349E-01   0.509901E+02   0.362507E+01   0.519513E+02   0.519513E+02
   0.418269E-01   0.499581E+02   0.357951E+01   0.516553E+02   0.516553E+02
   0.423190E-01   0.485407E+02   0.352898E+01   0.513578E+02   0.513578E+02
   0.428111E-01   0.497638E+02   0.355372E+01   0.510590E+02   0.510590E+02
   0.433031E-01   0.494479E+02   0.353406E+01   0.507590E+02   0.507590E+02
   0.437952E-01   0.492270E+02   0.351019E+01   0.504577E+02   0.504577E+02
   0.442872E-01   0.492889E+02   0.349111E+01   0.501553E+02   0.501553E+02
   0.447793E-01   0.482167E+02   0.345976E+01   0.498518E+02   0.498518E+02
   0.452714E-01   0.473742E+02   0.342527E+01   0.495473E+02   0.495473E+02
   0.457634E-01   0.479369E+02   0.333617E+01   0.492418E+02   0.492418E+02
   0.462555E-01   0.471219E+02   0.324553E+01   0.489354E+02   0.489354E+02
   0.467475E-01   0.474959E+02   0.316549E+01   0.486281E+02   0.486281E+02
   0.472396E-01   0.470761E+02   0.306256E+01   0.483201E+02   0.483201E+02
   0.477316E-01   0.476348E+02   0.299436E+01   0.480113E+02   0.480113E+02
   0.482237E-01   0.471524E+02   0.289150E+01   0.477018E+02   0.477018E+02
   0.487158E-01   0.471527E+02   0.281764E+01   0.473917E+02   0.473917E+02
   0.492078E-01   0.473477E+02   0.274343E+01   0.470811E+02   0.470811E+02
   0.496999E-01   0.462657E+02   0.264172E+01   0.467699E+02   0.467699E+02
   0.501919E-01   0.461156E+02   0.255771E+01   0.464583E+02   0.464583E+02
   0.506840E-01   0.465000E+02   0.247987E+01   0.461462E+02   0.461462E+02
   0.511760E-01   0.449417E+02   0.237349E+01   0.458339E+02   0.458339E+02
   0.516681E-01   0.452905E+02   0.230516E+01   0.455212E+02   0.455212E+02
   0.521601E-01   0.456343E+02   0.224202E+01   0.452083E+02   0.452083E+02
   0.526522E-01   0.446650E+02   0.213773E+01   0.448952E+02   0.448952E+02
   0.531442E-01   0.446516E+02   0.206740E+01   0.445821E+02   0.445821E+02
   0.536363E-01   0.443959E+02   0.199148E+01   0.442688E+02   0.442688E+02
   0.541283E-01   0.443128E+02   0.191536E+01   0.439555E+02   0.439555E+02
   0.546204E-01   0.438361E+02   0.183065E+01   0.436422E+02   0.436422E+02
   0.551124E-01   0.436727E+02   0.175600E+01   0.433291E+02   0.433291E+02
   0.556045E-01   0.431777E+02   0.167805E+01   0.430160E+02   0.430160E+02
   0.560965E-01   0.432302E+02   0.160997E+01   0.427032E+02   0.427032E+02
   0.565885E-01   0.427344E+02   0.153277E+01   0.423906E+02   0.423906E+02
   0.570806E-01   0.425965E+02   0.146337E+01   0.420783E+02   0.420783E+02
   0.575726E-01   0.423115E+02   0.139278E+01   0.417663E+02   0.417663E+02
   0.580647E-01   0.418523E+02   0.131639E+01   0.414547E+02   0.414547E+02
   0.585567E-01   0.418320E+02   0.125496E+01   0.411435E+02   0.411435E+02
   0.590487E-01   0.413237E+02   0.881280E+00   0.408329E+02   0.408329E+02
   0.595408E-01   0.407892E+02   0.869321E+00   0.405227E+02   0.405227E+02
   0.600328E-01   0.408145E+02   0.853323E+00   0.402131E+02   0.402131E+02
   0.605248E-01   0.406096E+02   0.863517E+00   0.399041E+02   0.399041E+02
   0.610169E-01   0.401357E+02   0.855951E+00   0.395958E+02   0.395958E+02
   0.615089E-01   0.397536E+02   0.845693E+00   0.392882E+02   0.392882E+02
   0.620010E-01   0.394779E+02   0.835521E+00   0.389812E+02   0.389812E+02
   0.624930E-01   0.389828E+02   0.828791E+00   0.386752E+02   0.386752E+02
